------------------------------------------------------------
Server listening on UDP port 5004
UDP buffer size: 64.0 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.29 port 5004 connected with 192.168.1.60 port 23555
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 193.00-194.00 sec  33.0 KBytes   270 Kbits/sec  36.824 ms 0/23 (0%)
[  1] 194.00-195.00 sec  33.0 KBytes   270 Kbits/sec  48.634 ms 0/23 (0%)
[  1] 195.00-196.00 sec  37.3 KBytes   306 Kbits/sec  30.624 ms 0/26 (0%)
[  1] 196.00-197.00 sec  43.1 KBytes   353 Kbits/sec  33.318 ms 0/30 (0%)
[  1] 197.00-198.00 sec  41.6 KBytes   341 Kbits/sec  30.825 ms 0/29 (0%)
[  1] 198.00-199.00 sec  40.2 KBytes   329 Kbits/sec  22.086 ms 0/28 (0%)
[  1] 199.00-200.00 sec  47.4 KBytes   388 Kbits/sec  29.426 ms 0/33 (0%)
[  1] 200.00-201.00 sec  41.6 KBytes   341 Kbits/sec  21.577 ms 0/29 (0%)
[  1] 201.00-202.00 sec  45.9 KBytes   376 Kbits/sec  25.822 ms 0/32 (0%)
[  1] 202.00-203.00 sec  43.1 KBytes   353 Kbits/sec  30.559 ms 1/31 (3.2%)
[  1] 203.00-204.00 sec  41.6 KBytes   341 Kbits/sec  21.967 ms 0/29 (0%)
[  1] 204.00-205.00 sec  33.0 KBytes   270 Kbits/sec  24.838 ms 0/23 (0%)
[  1] 205.00-206.00 sec  38.8 KBytes   318 Kbits/sec  32.990 ms 0/27 (0%)
[  1] 206.00-207.00 sec  27.3 KBytes   223 Kbits/sec  40.030 ms 0/19 (0%)
[  1] 207.00-208.00 sec  37.3 KBytes   306 Kbits/sec  32.747 ms 0/26 (0%)
[  1] 208.00-209.00 sec  43.1 KBytes   353 Kbits/sec  30.150 ms 0/30 (0%)
[  1] 209.00-210.00 sec  45.9 KBytes   376 Kbits/sec  25.505 ms 0/32 (0%)
[  1] 210.00-211.00 sec  45.9 KBytes   376 Kbits/sec  16.152 ms 0/32 (0%)
[  1] 211.00-212.00 sec  45.9 KBytes   376 Kbits/sec  21.648 ms 0/32 (0%)
[  1] 212.00-213.00 sec  41.6 KBytes   341 Kbits/sec  21.816 ms 0/29 (0%)
[  1] 213.00-214.00 sec  41.6 KBytes   341 Kbits/sec  22.253 ms 0/29 (0%)
[  1] 214.00-215.00 sec  35.9 KBytes   294 Kbits/sec  20.422 ms 0/25 (0%)
[  1] 215.00-216.00 sec  34.5 KBytes   282 Kbits/sec  19.539 ms 0/24 (0%)
[  1] 216.00-217.00 sec  44.5 KBytes   365 Kbits/sec  25.543 ms 0/31 (0%)
[  1] 217.00-218.00 sec  44.5 KBytes   365 Kbits/sec  24.706 ms 0/31 (0%)
[  1] 218.00-219.00 sec  31.6 KBytes   259 Kbits/sec  33.762 ms 0/22 (0%)
[  1] 219.00-220.00 sec  37.3 KBytes   306 Kbits/sec  30.854 ms 0/26 (0%)
[  1] 220.00-221.00 sec  35.9 KBytes   294 Kbits/sec  27.140 ms 0/25 (0%)
[  1] 221.00-222.00 sec  41.6 KBytes   341 Kbits/sec  30.467 ms 0/29 (0%)
[  1] 222.00-223.00 sec  40.2 KBytes   329 Kbits/sec  23.169 ms 0/28 (0%)
