------------------------------------------------------------
Server listening on UDP port 5004
UDP buffer size: 64.0 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.29 port 5004 connected with 192.168.1.60 port 13370
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  1] 214.00-215.00 sec   451 KBytes  3.69 Mbits/sec   4.309 ms 0/314 (0%)
[  1] 215.00-216.00 sec   458 KBytes  3.75 Mbits/sec   3.855 ms 0/319 (0%)
[  1] 216.00-217.00 sec   458 KBytes  3.75 Mbits/sec   3.590 ms 0/319 (0%)
[  1] 217.00-218.00 sec   467 KBytes  3.82 Mbits/sec   3.998 ms 0/325 (0%)
[  1] 218.00-219.00 sec   468 KBytes  3.83 Mbits/sec   3.859 ms 0/326 (0%)
[  1] 219.00-220.00 sec   468 KBytes  3.83 Mbits/sec   3.296 ms 0/326 (0%)
[  1] 220.00-221.00 sec   471 KBytes  3.86 Mbits/sec   3.606 ms 0/328 (0%)
[  1] 221.00-222.00 sec   451 KBytes  3.69 Mbits/sec   4.242 ms 0/314 (0%)
[  1] 222.00-223.00 sec   454 KBytes  3.72 Mbits/sec   3.598 ms 0/316 (0%)
[  1] 223.00-224.00 sec   446 KBytes  3.66 Mbits/sec   3.966 ms 0/311 (0%)
[  1] 224.00-225.00 sec   468 KBytes  3.83 Mbits/sec   4.030 ms 0/326 (0%)
[  1] 225.00-226.00 sec   441 KBytes  3.61 Mbits/sec   4.245 ms 0/307 (0%)
[  1] 226.00-227.00 sec   472 KBytes  3.87 Mbits/sec   2.623 ms 0/329 (0%)
[  1] 227.00-228.00 sec   461 KBytes  3.77 Mbits/sec   3.384 ms 0/321 (0%)
[  1] 228.00-229.00 sec   445 KBytes  3.65 Mbits/sec   4.076 ms 0/310 (0%)
[  1] 229.00-230.00 sec   469 KBytes  3.85 Mbits/sec   3.801 ms 0/327 (0%)
[  1] 230.00-231.00 sec   451 KBytes  3.69 Mbits/sec   4.021 ms 0/314 (0%)
[  1] 231.00-232.00 sec   449 KBytes  3.68 Mbits/sec   3.881 ms 0/313 (0%)
[  1] 232.00-233.00 sec   459 KBytes  3.76 Mbits/sec   3.809 ms 0/320 (0%)
[  1] 233.00-234.00 sec   484 KBytes  3.96 Mbits/sec   3.872 ms 1/338 (0.3%)
[  1] 234.00-235.00 sec   467 KBytes  3.82 Mbits/sec   3.057 ms 0/325 (0%)
[  1] 235.00-236.00 sec   439 KBytes  3.60 Mbits/sec   4.025 ms 0/306 (0%)
[  1] 236.00-237.00 sec   458 KBytes  3.75 Mbits/sec   3.749 ms 0/319 (0%)
[  1] 237.00-238.00 sec   428 KBytes  3.50 Mbits/sec   3.166 ms 0/298 (0%)
[  1] 238.00-239.00 sec   468 KBytes  3.83 Mbits/sec   4.140 ms 0/326 (0%)
[  1] 239.00-240.00 sec   441 KBytes  3.61 Mbits/sec   3.572 ms 0/307 (0%)
[  1] 240.00-241.00 sec   415 KBytes  3.40 Mbits/sec   4.992 ms 0/289 (0%)
[  1] 241.00-242.00 sec   479 KBytes  3.93 Mbits/sec   4.140 ms 11/345 (3.2%)
[  1] 242.00-243.00 sec   462 KBytes  3.79 Mbits/sec   4.234 ms 5/327 (1.5%)
[  1] 243.00-244.00 sec   449 KBytes  3.68 Mbits/sec   3.809 ms 0/313 (0%)
[  1] 244.00-245.00 sec   441 KBytes  3.61 Mbits/sec   3.684 ms 0/307 (0%)
[  1] 245.00-246.00 sec   481 KBytes  3.94 Mbits/sec   3.901 ms 0/335 (0%)
[  1] 246.00-247.00 sec   452 KBytes  3.70 Mbits/sec   4.334 ms 0/315 (0%)
[  1] 247.00-248.00 sec   458 KBytes  3.75 Mbits/sec   3.914 ms 0/319 (0%)
[  1] 248.00-249.00 sec   458 KBytes  3.75 Mbits/sec   3.545 ms 0/319 (0%)
[  1] 249.00-250.00 sec   431 KBytes  3.53 Mbits/sec   3.887 ms 0/300 (0%)
[  1] 250.00-251.00 sec   485 KBytes  3.97 Mbits/sec   4.268 ms 0/338 (0%)
[  1] 251.00-252.00 sec   469 KBytes  3.85 Mbits/sec   3.364 ms 0/327 (0%)
[  1] 252.00-253.00 sec   458 KBytes  3.75 Mbits/sec   3.627 ms 0/319 (0%)
[  1] 253.00-254.00 sec   448 KBytes  3.67 Mbits/sec   3.286 ms 0/312 (0%)
[  1] 254.00-255.00 sec   464 KBytes  3.80 Mbits/sec   3.017 ms 0/323 (0%)
[  1] 255.00-256.00 sec   455 KBytes  3.73 Mbits/sec   3.417 ms 0/317 (0%)
[  1] 256.00-257.00 sec   461 KBytes  3.77 Mbits/sec   4.480 ms 0/321 (0%)
