------------------------------------------------------------
Server listening on TCP port 2224
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  1] local 172.31.208.211 port 2224 connected with 172.31.208.1 port 3895 (icwnd/mss/irtt=14/1452/305)
[ ID] Interval       Transfer     Bandwidth
[  1] 245.00-246.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 246.00-247.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 247.00-248.00 sec  32.8 KBytes   269 Kbits/sec
[  1] 248.00-249.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 249.00-250.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 250.00-251.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 251.00-252.00 sec  34.2 KBytes   280 Kbits/sec
[  1] 252.00-253.00 sec  38.5 KBytes   315 Kbits/sec
[  1] 253.00-254.00 sec  34.2 KBytes   280 Kbits/sec
[  1] 254.00-255.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 255.00-256.00 sec  22.8 KBytes   187 Kbits/sec
[  1] 256.00-257.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 257.00-258.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 258.00-259.00 sec  32.8 KBytes   269 Kbits/sec
[  1] 259.00-260.00 sec  35.6 KBytes   292 Kbits/sec
[  1] 260.00-261.00 sec  38.5 KBytes   315 Kbits/sec
[  1] 261.00-262.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 262.00-263.00 sec  35.6 KBytes   292 Kbits/sec
[  1] 263.00-264.00 sec  37.1 KBytes   304 Kbits/sec
[  1] 264.00-265.00 sec  31.4 KBytes   257 Kbits/sec
[  1] 265.00-266.00 sec  42.8 KBytes   350 Kbits/sec
[  1] 266.00-267.00 sec  34.2 KBytes   280 Kbits/sec
[  1] 267.00-268.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 268.00-269.00 sec  35.6 KBytes   292 Kbits/sec
[  1] 269.00-270.00 sec  34.2 KBytes   280 Kbits/sec
[  1] 270.00-271.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 271.00-272.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 272.00-273.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 273.00-274.00 sec  31.4 KBytes   257 Kbits/sec
[  1] 274.00-275.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 275.00-276.00 sec  35.6 KBytes   292 Kbits/sec
[  1] 276.00-277.00 sec  42.8 KBytes   350 Kbits/sec
[  1] 277.00-278.00 sec  25.7 KBytes   210 Kbits/sec
[  1] 278.00-279.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 279.00-280.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 280.00-281.00 sec  35.6 KBytes   292 Kbits/sec
[  1] 281.00-282.00 sec  35.6 KBytes   292 Kbits/sec
[  1] 282.00-283.00 sec  31.4 KBytes   257 Kbits/sec
[  1] 283.00-284.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 284.00-285.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 285.00-286.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 286.00-287.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 287.00-288.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 288.00-289.00 sec  24.2 KBytes   199 Kbits/sec
[  1] 289.00-290.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 290.00-291.00 sec  32.8 KBytes   269 Kbits/sec
[  1] 291.00-292.00 sec  25.7 KBytes   210 Kbits/sec
[  1] 292.00-293.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 293.00-294.00 sec  38.5 KBytes   315 Kbits/sec
[  1] 294.00-295.00 sec  22.8 KBytes   187 Kbits/sec
[  1] 295.00-296.00 sec  25.7 KBytes   210 Kbits/sec
[  1] 296.00-297.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 297.00-298.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 298.00-299.00 sec  25.7 KBytes   210 Kbits/sec
[  1] 299.00-300.00 sec  29.9 KBytes   245 Kbits/sec
[  1] 300.00-301.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 301.00-302.00 sec  25.7 KBytes   210 Kbits/sec
[  1] 302.00-303.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 303.00-304.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 304.00-305.00 sec  31.4 KBytes   257 Kbits/sec
[  1] 305.00-306.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 306.00-307.00 sec  25.7 KBytes   210 Kbits/sec
[  1] 307.00-308.00 sec  22.8 KBytes   187 Kbits/sec
[  1] 308.00-309.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 309.00-310.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 310.00-311.00 sec  24.2 KBytes   199 Kbits/sec
[  1] 311.00-312.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 312.00-313.00 sec  28.5 KBytes   234 Kbits/sec
[  1] 313.00-314.00 sec  22.8 KBytes   187 Kbits/sec
[  1] 314.00-315.00 sec  27.1 KBytes   222 Kbits/sec
[  1] 315.00-316.00 sec  17.1 KBytes   140 Kbits/sec
[  1] 316.00-317.00 sec  1.43 KBytes  11.7 Kbits/sec
[  1] 317.00-318.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 318.00-319.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 319.00-320.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 320.00-321.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 321.00-322.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 322.00-323.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 323.00-324.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 324.00-325.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 325.00-326.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 326.00-327.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 327.00-328.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 328.00-329.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 329.00-330.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 330.00-331.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 331.00-332.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 332.00-333.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 333.00-334.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 334.00-335.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 335.00-336.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 336.00-337.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 337.00-338.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 338.00-339.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 339.00-340.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 340.00-341.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 341.00-342.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 342.00-343.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 343.00-344.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 344.00-345.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 345.00-346.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 346.00-347.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 347.00-348.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 348.00-349.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 349.00-350.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 350.00-351.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 351.00-352.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 352.00-353.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 353.00-354.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 354.00-355.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 355.00-356.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 356.00-357.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 357.00-358.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 358.00-359.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 359.00-360.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 360.00-361.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 361.00-362.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 362.00-363.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 363.00-364.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 364.00-365.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 365.00-366.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 366.00-367.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 367.00-368.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 368.00-369.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 369.00-370.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 370.00-371.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 371.00-372.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 372.00-373.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 373.00-374.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 374.00-375.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 375.00-376.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 376.00-377.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 377.00-378.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 378.00-379.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 379.00-380.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 380.00-381.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 381.00-382.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 382.00-383.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 383.00-384.00 sec  0.000 Bytes  0.000 bits/sec
[  1] 384.00-385.00 sec  0.000 Bytes  0.000 bits/sec
