--- CMD: ifconfig ---
ifconfig
wlan0	Link encap:Ethernet HWaddr 30:ed:a0:f3:f7:b0 at RUNNING mtu 1500
	inet addr:192.168.1.60 DRaddr:192.168.1.1 Mask:255.255.255.0

nsh> [K
nsh> [K
--- CMD: iperf2 -s -p 5001 -i 1 & ---
iperf2 -s -p 5001 -i 1 &
iperf2 [25:101]
nsh> [K
nsh> [K------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: -1.00 Byte (WARNING: requested 16.0 KByte)
------------------------------------------------------------
[CPU0] tcp_setsockopt: ERROR: TCP_NODELAY not supported
tcpnodelay failed: Invalid system call number
[  1] local 192.168.1.60 port 5001 connected with 192.168.1.29 port 13810
[ ID] Interval       Transfer     Bandwidth
[  1] 205.00-206.00 sec   315 KBytes  2.58 Mbits/sec
[  1] 206.00-207.00 sec   376 KBytes  3.08 Mbits/sec
[  1] 207.00-208.00 sec   302 KBytes  2.47 Mbits/sec
[  1] 208.00-209.00 sec   280 KBytes  2.29 Mbits/sec
[  1] 209.00-210.00 sec   223 KBytes  1.83 Mbits/sec
[  1] 210.00-211.00 sec   304 KBytes  2.49 Mbits/sec
[  1] 211.00-212.00 sec   224 KBytes  1.84 Mbits/sec
[  1] 212.00-213.00 sec   257 KBytes  2.11 Mbits/sec
[  1] 213.00-214.00 sec   261 KBytes  2.14 Mbits/sec
[  1] 214.00-215.00 sec   257 KBytes  2.11 Mbits/sec
[  1] 215.00-216.00 sec   241 KBytes  1.97 Mbits/sec
[  1] 216.00-217.00 sec   319 KBytes  2.61 Mbits/sec
[  1] 217.00-218.00 sec   247 KBytes  2.03 Mbits/sec
[  1] 218.00-219.00 sec   220 KBytes  1.80 Mbits/sec
[  1] 219.00-220.00 sec   260 KBytes  2.13 Mbits/sec
[  1] 220.00-221.00 sec   163 KBytes  1.33 Mbits/sec
[  1] 221.00-222.00 sec   204 KBytes  1.67 Mbits/sec
[  1] 222.00-223.00 sec  50.4 KBytes   413 Kbits/sec
[  1] 223.00-224.00 sec  29.8 KBytes   244 Kbits/sec
[  1] 224.00-225.00 sec  35.4 KBytes   290 Kbits/sec
[  1] 225.00-226.00 sec  25.5 KBytes   209 Kbits/sec
[  1] 226.00-227.00 sec  28.4 KBytes   232 Kbits/sec
[  1] 227.00-228.00 sec  39.7 KBytes   325 Kbits/sec
[  1] 228.00-229.00 sec  31.2 KBytes   256 Kbits/sec
[  1] 229.00-230.00 sec  32.6 KBytes   267 Kbits/sec
[  1] 230.00-231.00 sec  19.9 KBytes   163 Kbits/sec
[  1] 231.00-232.00 sec  32.6 KBytes   267 Kbits/sec
[  1] 232.00-233.00 sec  31.2 KBytes   256 Kbits/sec
[  1] 233.00-234.00 sec  42.5 KBytes   348 Kbits/sec
[  1] 234.00-235.00 sec  63.0 KBytes   516 Kbits/sec
[  1] 235.00-236.00 sec  64.0 KBytes   524 Kbits/sec
[  1] 236.00-237.00 sec   114 KBytes   932 Kbits/sec
[  1] 237.00-238.00 sec   305 KBytes  2.50 Mbits/sec
[  1] 238.00-239.00 sec   307 KBytes  2.52 Mbits/sec
[  1] 239.00-240.00 sec   246 KBytes  2.01 Mbits/sec
[  1] 240.00-241.00 sec   243 KBytes  1.99 Mbits/sec
[  1] 241.00-242.00 sec   198 KBytes  1.62 Mbits/sec
[  1] 242.00-243.00 sec   309 KBytes  2.53 Mbits/sec
[  1] 243.00-244.00 sec   196 KBytes  1.60 Mbits/sec
[  1] 244.00-245.00 sec   171 KBytes  1.40 Mbits/sec
[  1] 245.00-246.00 sec   233 KBytes  1.91 Mbits/sec
[  1] 246.00-247.00 sec   197 KBytes  1.61 Mbits/sec
[  1] 247.00-248.00 sec   135 KBytes  1.10 Mbits/sec
[  1] 248.00-249.00 sec  27.4 KBytes   225 Kbits/sec
[  1] 249.00-250.00 sec  39.1 KBytes   320 Kbits/sec
[  1] 250.00-251.00 sec  44.1 KBytes   361 Kbits/sec
[  1] 251.00-252.00 sec   186 KBytes  1.53 Mbits/sec
[  1] 252.00-253.00 sec   226 KBytes  1.85 Mbits/sec
[  1] 253.00-254.00 sec   262 KBytes  2.15 Mbits/sec
[  1] 254.00-255.00 sec   271 KBytes  2.22 Mbits/sec
[  1] 255.00-256.00 sec   234 KBytes  1.92 Mbits/sec
[  1] 256.00-257.00 sec   259 KBytes  2.12 Mbits/sec
[  1] 257.00-258.00 sec   192 KBytes  1.57 Mbits/sec
[  1] 258.00-259.00 sec   270 KBytes  2.21 Mbits/sec
[  1] 259.00-260.00 sec  27.7 KBytes   227 Kbits/sec
[  1] 260.00-261.00 sec  53.5 KBytes   439 Kbits/sec
[  1] 261.00-262.00 sec   271 KBytes  2.22 Mbits/sec
[  1] 262.00-263.00 sec   359 KBytes  2.94 Mbits/sec
[  1] 263.00-264.00 sec   339 KBytes  2.77 Mbits/sec
[  1] 264.00-265.00 sec   199 KBytes  1.63 Mbits/sec
[  1] 265.00-266.00 sec  98.4 KBytes   806 Kbits/sec
[  1] 266.00-267.00 sec   273 KBytes  2.24 Mbits/sec
[  1] 267.00-268.00 sec   342 KBytes  2.80 Mbits/sec
[  1] 268.00-269.00 sec   405 KBytes  3.32 Mbits/sec
[  1] 269.00-270.00 sec   260 KBytes  2.13 Mbits/sec
[  1] 270.00-271.00 sec  27.3 KBytes   223 Kbits/sec
[  1] 271.00-272.00 sec  1.42 KBytes  11.6 Kbits/sec
[  1] 272.00-273.00 sec   207 KBytes  1.70 Mbits/sec
[  1] 273.00-274.00 sec   371 KBytes  3.04 Mbits/sec
[  1] 274.00-275.00 sec   290 KBytes  2.38 Mbits/sec
[  1] 275.00-276.00 sec  82.2 KBytes   674 Kbits/sec
[  1] 276.00-277.00 sec   341 KBytes  2.80 Mbits/sec
[  1] 277.00-278.00 sec   463 KBytes  3.79 Mbits/sec
[  1] 278.00-279.00 sec   301 KBytes  2.47 Mbits/sec
[  1] 279.00-280.00 sec   184 KBytes  1.50 Mbits/sec
[  1] 280.00-281.00 sec   137 KBytes  1.12 Mbits/sec
[  1] 281.00-282.00 sec  29.2 KBytes   239 Kbits/sec
[  1] 282.00-283.00 sec  33.4 KBytes   274 Kbits/sec
[  1] 283.00-284.00 sec  26.3 KBytes   216 Kbits/sec
[  1] 284.00-285.00 sec  93.6 KBytes   767 Kbits/sec
[  1] 285.00-286.00 sec   115 KBytes   943 Kbits/sec
[  1] 286.00-287.00 sec  47.2 KBytes   387 Kbits/sec
[  1] 287.00-288.00 sec  51.1 KBytes   418 Kbits/sec
[  1] 288.00-289.00 sec  36.2 KBytes   297 Kbits/sec
[  1] 289.00-289.82 sec  37.3 KBytes   372 Kbits/sec
[  1] 0.00-289.82 sec  67.3 MBytes  1.95 Mbits/sec
--- CMD: ps ---
ps
  PID GROUP CPU(AFFINITY)   PRI POLICY   TYPE    NPX STATE    EVENT     SIGMASK            STACK COMMAND
    0     0 000(0x00000003)   0 FIFO     Kthread   - Assigned           0000000000000000 0003024 CPU0 IDLE
    1     0 001(0x00000003)   0 FIFO     Kthread   - Running            0000000000000000 0003024 CPU1 IDLE
    2     0 ---(0x00000003) 100 RR       Kthread   - Waiting  Semaphore 0000000000000000 0001952 lpwork 0x2f011140 0x2f01118c
    4     0 ---(0x00000003) 223 RR       Kthread   - Waiting  Semaphore 0000000000000000 0001968 hr_timer
    5     0 ---(0x00000001) 253 RR       Kthread   - Waiting  MQ empty  0000000000000000 0003520 wifi
    6     6 000(0x00000003) 101 RR       Task      - Running            0000000000000000 0004016 /system/bin/init
   25    25 ---(0x00000003) 100 RR       Task      - Waiting  Semaphore 0000000000000000 0008080 iperf2 -s -p 5001 -i 1
   26    25 ---(0x00000003) 101 RR       pthread   - Waiting  Semaphore 0000000000000000 0008144 iperf2 0x6100d684 0x618007f0
   27    25 ---(0x00000003) 100 RR       pthread   - Waiting  Semaphore 0000000000000000 0008144 iperf2 0x6100d684 0x61800550
nsh> [K
nsh> [K
--- CMD: kill -15 25 ---
kill -15 25
nsh> [K
nsh> [K
{"case": "5.1.22", "status": "FAIL", "receipt": "build1354-network-sendbuf.sha256", "duration_seconds": 300, "host_topology": "Existing Linux iperf2 on Windows WSL, outbound LAN via Windows NAT; no TCP relay in RX direction", "server_pid": 25, "client_exit": 0, "wall_seconds": 304.195321118008, "host_full_duration": true, "board_full_duration": false, "rate_acceptance": "Numeric standard not specified in original; actual rates retained for review", "board_capture_sha256": "8485e5ee6423e1b208bf736914a9c882a2aa43fd9daee69b9e5473c40306c2d9"}
