------------------------------------------------------------
Server listening on TCP port 5002
TCP window size: 64.0 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.29 port 5002 connected with 192.168.1.60 port 14110
[ ID] Interval       Transfer     Bandwidth
[  2] 268.00-269.00 sec  41.3 KBytes   339 Kbits/sec
[  2] 269.00-270.00 sec  25.7 KBytes   210 Kbits/sec
[  2] 270.00-271.00 sec  11.4 KBytes  93.4 Kbits/sec
[  2] 271.00-272.00 sec  21.4 KBytes   175 Kbits/sec
[  2] 272.00-273.00 sec  31.4 KBytes   257 Kbits/sec
[  2] 273.00-274.00 sec  38.5 KBytes   315 Kbits/sec
[  2] 274.00-275.00 sec  47.1 KBytes   385 Kbits/sec
[  2] 275.00-276.00 sec  39.9 KBytes   327 Kbits/sec
[  2] 276.00-277.00 sec  39.9 KBytes   327 Kbits/sec
[  2] 277.00-278.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 278.00-279.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 279.00-280.00 sec  29.9 KBytes   245 Kbits/sec
[  2] 280.00-281.00 sec  32.8 KBytes   269 Kbits/sec
[  2] 281.00-282.00 sec  22.8 KBytes   187 Kbits/sec
[  2] 282.00-283.00 sec  12.8 KBytes   105 Kbits/sec
[  2] 283.00-284.00 sec  17.1 KBytes   140 Kbits/sec
[  2] 284.00-285.00 sec  22.8 KBytes   187 Kbits/sec
[  2] 285.00-286.00 sec  28.5 KBytes   234 Kbits/sec
[  2] 286.00-287.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 287.00-288.00 sec  29.9 KBytes   245 Kbits/sec
[  2] 288.00-289.00 sec  44.2 KBytes   362 Kbits/sec
[  2] 289.00-290.00 sec  42.8 KBytes   350 Kbits/sec
[  2] 290.00-291.00 sec  29.9 KBytes   245 Kbits/sec
[  2] 291.00-292.00 sec  24.2 KBytes   199 Kbits/sec
[  2] 292.00-293.00 sec  34.2 KBytes   280 Kbits/sec
[  2] 293.00-294.00 sec  32.8 KBytes   269 Kbits/sec
[  2] 294.00-295.00 sec  24.2 KBytes   199 Kbits/sec
[  2] 295.00-296.00 sec  29.9 KBytes   245 Kbits/sec
[  2] 296.00-297.00 sec  25.7 KBytes   210 Kbits/sec
[  2] 297.00-298.00 sec  29.9 KBytes   245 Kbits/sec
[  2] 298.00-299.00 sec  31.4 KBytes   257 Kbits/sec
[  2] 299.00-300.00 sec  27.1 KBytes   222 Kbits/sec
[  2] 300.00-301.00 sec  24.6 KBytes   201 Kbits/sec
[  2] 0.00-301.01 sec  10.6 MBytes   296 Kbits/sec
[  3] local 192.168.1.29 port 5002 connected with 192.168.1.60 port 15009
[ ID] Interval       Transfer     Bandwidth
[  3] 0.00-1.00 sec  28.5 KBytes   234 Kbits/sec
[  3] 1.00-2.00 sec  34.2 KBytes   280 Kbits/sec
[  3] 2.00-3.00 sec  29.9 KBytes   245 Kbits/sec
[  3] 3.00-4.00 sec  37.1 KBytes   304 Kbits/sec
[  3] 4.00-5.00 sec  1.43 KBytes  11.7 Kbits/sec
[  3] 5.00-6.00 sec  9.98 KBytes  81.8 Kbits/sec
[  3] 6.00-7.00 sec  24.2 KBytes   199 Kbits/sec
[  3] 7.00-8.00 sec  34.2 KBytes   280 Kbits/sec
[  3] 8.00-9.00 sec  27.1 KBytes   222 Kbits/sec
[  3] 9.00-10.00 sec  29.9 KBytes   245 Kbits/sec
[  3] 10.00-11.00 sec  24.2 KBytes   199 Kbits/sec
[  3] 11.00-11.33 sec  4.28 KBytes   105 Kbits/sec
[  3] 0.00-11.33 sec   285 KBytes   206 Kbits/sec
[  4] local 192.168.1.29 port 5002 connected with 192.168.1.60 port 29859
[ ID] Interval       Transfer     Bandwidth
[  4] 0.00-1.00 sec  21.4 KBytes   175 Kbits/sec
[  4] 1.00-2.00 sec  25.7 KBytes   210 Kbits/sec
[  4] 2.00-3.00 sec  44.2 KBytes   362 Kbits/sec
[  4] 3.00-4.00 sec  34.2 KBytes   280 Kbits/sec
[  4] 4.00-5.00 sec  29.9 KBytes   245 Kbits/sec
[  4] 5.00-6.00 sec  31.4 KBytes   257 Kbits/sec
[  4] 6.00-7.00 sec  34.2 KBytes   280 Kbits/sec
[  4] 7.00-8.00 sec  31.4 KBytes   257 Kbits/sec
[  4] 8.00-9.00 sec  32.8 KBytes   269 Kbits/sec
[  4] 9.00-10.00 sec  29.9 KBytes   245 Kbits/sec
[  4] 10.00-11.00 sec  28.5 KBytes   234 Kbits/sec
[  4] 11.00-11.26 sec  3.17 KBytes  99.1 Kbits/sec
[  4] 0.00-11.26 sec   347 KBytes   252 Kbits/sec
[  5] local 192.168.1.29 port 5002 connected with 192.168.1.60 port 8108
[ ID] Interval       Transfer     Bandwidth
[  5] 0.00-1.00 sec  45.7 KBytes   374 Kbits/sec
[  5] 1.00-2.00 sec  45.6 KBytes   374 Kbits/sec
[  5] 2.00-3.00 sec  47.1 KBytes   385 Kbits/sec
[  5] 3.00-4.00 sec  38.5 KBytes   315 Kbits/sec
[  5] 4.00-5.00 sec  47.1 KBytes   385 Kbits/sec
[  5] 5.00-6.00 sec  45.6 KBytes   374 Kbits/sec
[  5] 6.00-7.00 sec  54.2 KBytes   444 Kbits/sec
[  5] 7.00-8.00 sec  42.8 KBytes   350 Kbits/sec
[  5] 8.00-9.00 sec  48.5 KBytes   397 Kbits/sec
[  5] 9.00-10.00 sec  47.1 KBytes   385 Kbits/sec
[  5] 10.00-11.00 sec  24.2 KBytes   199 Kbits/sec
[  5] 11.00-11.49 sec  9.81 KBytes   164 Kbits/sec
[  5] 0.00-11.49 sec   496 KBytes   354 Kbits/sec
