------------------------------------------------------------
Server listening on TCP port 5002
TCP window size: 64.0 KByte (default)
------------------------------------------------------------
[  1] local 192.168.1.29 port 5002 connected with 192.168.1.60 port 31011
[ ID] Interval       Transfer     Bandwidth
[  1] 147.00-148.00 sec   128 KBytes  1.05 Mbits/sec
[  1] 148.00-149.00 sec   154 KBytes  1.26 Mbits/sec
[  1] 149.00-150.00 sec   122 KBytes   999 Kbits/sec
[  1] 150.00-151.00 sec   160 KBytes  1.31 Mbits/sec
[  1] 151.00-152.00 sec   121 KBytes   993 Kbits/sec
[  1] 152.00-153.00 sec   147 KBytes  1.20 Mbits/sec
[  1] 153.00-154.00 sec   141 KBytes  1.16 Mbits/sec
[  1] 154.00-155.00 sec   135 KBytes  1.11 Mbits/sec
[  1] 155.00-156.00 sec   131 KBytes  1.07 Mbits/sec
[  1] 156.00-157.00 sec   145 KBytes  1.19 Mbits/sec
[  1] 157.00-158.00 sec   121 KBytes   990 Kbits/sec
[  1] 158.00-159.00 sec   132 KBytes  1.08 Mbits/sec
[  1] 159.00-160.00 sec   147 KBytes  1.20 Mbits/sec
[  1] 160.00-161.00 sec   141 KBytes  1.16 Mbits/sec
[  1] 161.00-162.00 sec   122 KBytes  1.00 Mbits/sec
[  1] 162.00-163.00 sec   131 KBytes  1.07 Mbits/sec
[  1] 163.00-164.00 sec   143 KBytes  1.17 Mbits/sec
[  1] 164.00-165.00 sec   129 KBytes  1.06 Mbits/sec
[  1] 165.00-166.00 sec   151 KBytes  1.24 Mbits/sec
[  1] 166.00-167.00 sec   141 KBytes  1.15 Mbits/sec
[  1] 167.00-168.00 sec   134 KBytes  1.10 Mbits/sec
[  1] 168.00-169.00 sec   131 KBytes  1.07 Mbits/sec
[  1] 169.00-170.00 sec   123 KBytes  1.00 Mbits/sec
[  1] 170.00-171.00 sec   144 KBytes  1.18 Mbits/sec
[  1] 171.00-172.00 sec   131 KBytes  1.07 Mbits/sec
[  1] 172.00-173.00 sec   144 KBytes  1.18 Mbits/sec
[  1] 173.00-174.00 sec   164 KBytes  1.35 Mbits/sec
[  1] 174.00-175.00 sec   148 KBytes  1.21 Mbits/sec
[  1] 175.00-176.00 sec   143 KBytes  1.17 Mbits/sec
[  1] 176.00-177.00 sec   141 KBytes  1.16 Mbits/sec
[  1] 177.00-178.00 sec   153 KBytes  1.25 Mbits/sec
[  1] 178.00-179.00 sec   176 KBytes  1.44 Mbits/sec
[  1] 179.00-180.00 sec   176 KBytes  1.44 Mbits/sec
[  1] 180.00-181.00 sec   180 KBytes  1.48 Mbits/sec
[  1] 181.00-182.00 sec   159 KBytes  1.30 Mbits/sec
[  1] 182.00-183.00 sec   153 KBytes  1.25 Mbits/sec
[  1] 183.00-184.00 sec   154 KBytes  1.26 Mbits/sec
[  1] 184.00-185.00 sec   164 KBytes  1.35 Mbits/sec
[  1] 185.00-186.00 sec   166 KBytes  1.36 Mbits/sec
[  1] 186.00-187.00 sec   176 KBytes  1.44 Mbits/sec
[  1] 187.00-188.00 sec   160 KBytes  1.31 Mbits/sec
[  1] 188.00-189.00 sec   148 KBytes  1.22 Mbits/sec
[  1] 189.00-190.00 sec   167 KBytes  1.37 Mbits/sec
[  1] 190.00-191.00 sec   133 KBytes  1.09 Mbits/sec
[  1] 191.00-192.00 sec   168 KBytes  1.37 Mbits/sec
[  1] 192.00-193.00 sec   142 KBytes  1.16 Mbits/sec
[  1] 193.00-194.00 sec   141 KBytes  1.16 Mbits/sec
[  1] 194.00-195.00 sec   138 KBytes  1.13 Mbits/sec
[  1] 195.00-196.00 sec   154 KBytes  1.26 Mbits/sec
[  1] 196.00-197.00 sec   144 KBytes  1.18 Mbits/sec
[  1] 197.00-198.00 sec   153 KBytes  1.25 Mbits/sec
[  1] 198.00-199.00 sec   164 KBytes  1.35 Mbits/sec
[  1] 199.00-200.00 sec   170 KBytes  1.39 Mbits/sec
[  1] 200.00-201.00 sec   150 KBytes  1.23 Mbits/sec
[  1] 201.00-202.00 sec   161 KBytes  1.32 Mbits/sec
[  1] 202.00-203.00 sec   132 KBytes  1.08 Mbits/sec
[  1] 203.00-204.00 sec   186 KBytes  1.52 Mbits/sec
[  1] 204.00-205.00 sec   159 KBytes  1.30 Mbits/sec
[  1] 205.00-206.00 sec   160 KBytes  1.31 Mbits/sec
[  1] 206.00-207.00 sec   151 KBytes  1.24 Mbits/sec
[  1] 207.00-208.00 sec   170 KBytes  1.40 Mbits/sec
[  1] 208.00-209.00 sec   170 KBytes  1.39 Mbits/sec
[  1] 209.00-210.00 sec   134 KBytes  1.10 Mbits/sec
[  1] 210.00-211.00 sec   182 KBytes  1.49 Mbits/sec
[  1] 211.00-212.00 sec   145 KBytes  1.19 Mbits/sec
[  1] 212.00-213.00 sec   151 KBytes  1.24 Mbits/sec
[  1] 213.00-214.00 sec   128 KBytes  1.05 Mbits/sec
[  1] 214.00-215.00 sec   179 KBytes  1.47 Mbits/sec
[  1] 215.00-216.00 sec   174 KBytes  1.42 Mbits/sec
[  1] 216.00-217.00 sec   182 KBytes  1.49 Mbits/sec
[  1] 217.00-218.00 sec   153 KBytes  1.25 Mbits/sec
[  1] 218.00-219.00 sec   127 KBytes  1.04 Mbits/sec
[  1] 219.00-220.00 sec   166 KBytes  1.36 Mbits/sec
[  1] 220.00-221.00 sec   151 KBytes  1.24 Mbits/sec
[  1] 221.00-222.00 sec   153 KBytes  1.25 Mbits/sec
[  1] 222.00-223.00 sec   148 KBytes  1.21 Mbits/sec
[  1] 223.00-224.00 sec   147 KBytes  1.20 Mbits/sec
[  1] 224.00-225.00 sec   151 KBytes  1.24 Mbits/sec
[  1] 225.00-226.00 sec   151 KBytes  1.24 Mbits/sec
[  1] 226.00-227.00 sec   145 KBytes  1.19 Mbits/sec
[  1] 227.00-228.00 sec   122 KBytes  1.00 Mbits/sec
[  1] 228.00-229.00 sec   161 KBytes  1.32 Mbits/sec
[  1] 229.00-230.00 sec   161 KBytes  1.32 Mbits/sec
[  1] 230.00-231.00 sec   177 KBytes  1.45 Mbits/sec
[  1] 231.00-232.00 sec   168 KBytes  1.37 Mbits/sec
[  1] 232.00-233.00 sec   139 KBytes  1.14 Mbits/sec
[  1] 233.00-234.00 sec   166 KBytes  1.36 Mbits/sec
[  1] 234.00-235.00 sec   182 KBytes  1.49 Mbits/sec
[  1] 235.00-236.00 sec   159 KBytes  1.30 Mbits/sec
[  1] 236.00-237.00 sec   164 KBytes  1.35 Mbits/sec
[  1] 237.00-238.00 sec   164 KBytes  1.35 Mbits/sec
[  1] 238.00-239.00 sec   169 KBytes  1.38 Mbits/sec
[  1] 239.00-240.00 sec   161 KBytes  1.32 Mbits/sec
[  1] 240.00-241.00 sec   165 KBytes  1.35 Mbits/sec
[  1] 241.00-242.00 sec   179 KBytes  1.47 Mbits/sec
[  1] 242.00-243.00 sec   137 KBytes  1.12 Mbits/sec
[  1] 243.00-244.00 sec   169 KBytes  1.38 Mbits/sec
[  1] 244.00-245.00 sec   182 KBytes  1.49 Mbits/sec
[  1] 245.00-246.00 sec   145 KBytes  1.19 Mbits/sec
[  1] 246.00-247.00 sec   160 KBytes  1.31 Mbits/sec
[  1] 247.00-248.00 sec   157 KBytes  1.29 Mbits/sec
[  1] 248.00-249.00 sec   161 KBytes  1.32 Mbits/sec
[  1] 249.00-250.00 sec   154 KBytes  1.26 Mbits/sec
[  1] 250.00-251.00 sec   173 KBytes  1.42 Mbits/sec
[  1] 251.00-252.00 sec   173 KBytes  1.42 Mbits/sec
[  1] 252.00-253.00 sec   151 KBytes  1.24 Mbits/sec
[  1] 253.00-254.00 sec   159 KBytes  1.30 Mbits/sec
[  1] 254.00-255.00 sec   195 KBytes  1.59 Mbits/sec
[  1] 255.00-256.00 sec   181 KBytes  1.48 Mbits/sec
[  1] 256.00-257.00 sec   144 KBytes  1.18 Mbits/sec
[  1] 257.00-258.00 sec   173 KBytes  1.42 Mbits/sec
[  1] 258.00-259.00 sec   132 KBytes  1.08 Mbits/sec
[  1] 259.00-260.00 sec   151 KBytes  1.24 Mbits/sec
[  1] 260.00-261.00 sec   137 KBytes  1.12 Mbits/sec
[  1] 261.00-262.00 sec   167 KBytes  1.37 Mbits/sec
[  1] 262.00-263.00 sec   163 KBytes  1.33 Mbits/sec
[  1] 263.00-264.00 sec   189 KBytes  1.55 Mbits/sec
[  1] 264.00-265.00 sec   170 KBytes  1.40 Mbits/sec
[  1] 265.00-266.00 sec   183 KBytes  1.50 Mbits/sec
[  1] 266.00-267.00 sec   159 KBytes  1.30 Mbits/sec
[  1] 267.00-268.00 sec   198 KBytes  1.62 Mbits/sec
[  1] 268.00-269.00 sec   165 KBytes  1.35 Mbits/sec
[  1] 269.00-270.00 sec   179 KBytes  1.47 Mbits/sec
[  1] 270.00-271.00 sec   164 KBytes  1.35 Mbits/sec
[  1] 271.00-272.00 sec   201 KBytes  1.65 Mbits/sec
[  1] 272.00-273.00 sec   127 KBytes  1.04 Mbits/sec
[  1] 273.00-274.00 sec   132 KBytes  1.08 Mbits/sec
[  1] 274.00-275.00 sec   145 KBytes  1.19 Mbits/sec
[  1] 275.00-276.00 sec   176 KBytes  1.44 Mbits/sec
[  1] 276.00-277.00 sec   165 KBytes  1.35 Mbits/sec
[  1] 277.00-278.00 sec   160 KBytes  1.31 Mbits/sec
[  1] 278.00-279.00 sec   188 KBytes  1.54 Mbits/sec
[  1] 279.00-280.00 sec   180 KBytes  1.48 Mbits/sec
[  1] 280.00-281.00 sec   193 KBytes  1.58 Mbits/sec
[  1] 281.00-282.00 sec   167 KBytes  1.37 Mbits/sec
[  1] 282.00-283.00 sec   164 KBytes  1.35 Mbits/sec
[  1] 283.00-284.00 sec   170 KBytes  1.40 Mbits/sec
[  1] 284.00-285.00 sec   169 KBytes  1.38 Mbits/sec
[  1] 285.00-286.00 sec   156 KBytes  1.28 Mbits/sec
[  1] 286.00-287.00 sec   169 KBytes  1.38 Mbits/sec
[  1] 287.00-288.00 sec   175 KBytes  1.43 Mbits/sec
[  1] 288.00-289.00 sec   161 KBytes  1.32 Mbits/sec
[  1] 289.00-290.00 sec   179 KBytes  1.47 Mbits/sec
[  1] 290.00-291.00 sec   164 KBytes  1.35 Mbits/sec
[  1] 291.00-292.00 sec   166 KBytes  1.36 Mbits/sec
[  1] 292.00-293.00 sec   170 KBytes  1.40 Mbits/sec
[  1] 293.00-294.00 sec   157 KBytes  1.29 Mbits/sec
[  1] 294.00-295.00 sec   148 KBytes  1.21 Mbits/sec
[  1] 295.00-296.00 sec   181 KBytes  1.48 Mbits/sec
[  1] 296.00-297.00 sec   159 KBytes  1.30 Mbits/sec
[  1] 297.00-298.00 sec   147 KBytes  1.20 Mbits/sec
[  1] 298.00-299.00 sec   157 KBytes  1.29 Mbits/sec
[  1] 299.00-300.00 sec   143 KBytes  1.17 Mbits/sec
[  1] 300.00-301.00 sec   150 KBytes  1.23 Mbits/sec
[  1] 301.00-302.00 sec   192 KBytes  1.58 Mbits/sec
[  1] 302.00-303.00 sec   144 KBytes  1.18 Mbits/sec
[  1] 303.00-304.00 sec   147 KBytes  1.20 Mbits/sec
[  1] 304.00-305.00 sec   164 KBytes  1.35 Mbits/sec
[  1] 305.00-306.00 sec   172 KBytes  1.41 Mbits/sec
[  1] 306.00-307.00 sec   179 KBytes  1.47 Mbits/sec
[  1] 307.00-308.00 sec   188 KBytes  1.54 Mbits/sec
[  1] 308.00-309.00 sec   163 KBytes  1.33 Mbits/sec
[  1] 309.00-310.00 sec   174 KBytes  1.43 Mbits/sec
[  1] 310.00-311.00 sec   176 KBytes  1.44 Mbits/sec
[  1] 311.00-312.00 sec   185 KBytes  1.51 Mbits/sec
[  1] 312.00-313.00 sec   156 KBytes  1.28 Mbits/sec
[  1] 313.00-314.00 sec   159 KBytes  1.30 Mbits/sec
[  1] 314.00-315.00 sec   171 KBytes  1.40 Mbits/sec
[  1] 315.00-316.00 sec   183 KBytes  1.50 Mbits/sec
[  1] 316.00-317.00 sec   167 KBytes  1.37 Mbits/sec
[  1] 317.00-318.00 sec   179 KBytes  1.47 Mbits/sec
[  1] 318.00-319.00 sec   171 KBytes  1.40 Mbits/sec
[  1] 319.00-320.00 sec   185 KBytes  1.51 Mbits/sec
[  1] 320.00-321.00 sec   177 KBytes  1.45 Mbits/sec
[  1] 321.00-322.00 sec   182 KBytes  1.49 Mbits/sec
[  1] 322.00-323.00 sec   135 KBytes  1.11 Mbits/sec
[  1] 323.00-324.00 sec   154 KBytes  1.26 Mbits/sec
[  1] 324.00-325.00 sec   167 KBytes  1.37 Mbits/sec
[  1] 325.00-326.00 sec   169 KBytes  1.38 Mbits/sec
[  1] 326.00-327.00 sec   144 KBytes  1.18 Mbits/sec
[  1] 327.00-328.00 sec   147 KBytes  1.21 Mbits/sec
[  1] 328.00-329.00 sec   166 KBytes  1.36 Mbits/sec
[  1] 329.00-330.00 sec   173 KBytes  1.42 Mbits/sec
[  1] 330.00-331.00 sec   177 KBytes  1.45 Mbits/sec
